~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H01P200 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P220.smi already exists
H06P230 missing from tranches, no worries
H06P240 missing from tranches, no worries
H06P250 missing from tranches, no worries
H06P260 missing from tranches, no worries
H06P270 missing from tranches, no worries
H06P280 missing from tranches, no worries
H06P290 missing from tranches, no worries
H06P300 missing from tranches, no worries
H06P310 missing from tranches, no worries
H06P320 missing from tranches, no worries
H06P330 missing from tranches, no worries
H06P340 missing from tranches, no worries
H06P350 missing from tranches, no worries
H06P360 missing from tranches, no worries
H06P370 missing from tranches, no worries
H06P380 missing from tranches, no worries
H06P390 missing from tranches, no worries
H06P400 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P260.smi already exists
H07P270 missing from tranches, no worries
H07P280 missing from tranches, no worries
H07P290 missing from tranches, no worries
H07P300 missing from tranches, no worries
H07P310 missing from tranches, no worries
H07P320 missing from tranches, no worries
H07P330 missing from tranches, no worries
H07P340 missing from tranches, no worries
H07P350 missing from tranches, no worries
H07P360 missing from tranches, no worries
H07P370 missing from tranches, no worries
H07P380 missing from tranches, no worries
H07P390 missing from tranches, no worries
H07P400 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P310.smi already exists
H08P320 missing from tranches, no worries
H08P330 missing from tranches, no worries
H08P340 missing from tranches, no worries
H08P350 missing from tranches, no worries
H08P360 missing from tranches, no worries
H08P370 missing from tranches, no worries
H08P380 missing from tranches, no worries
H08P390 missing from tranches, no worries
H08P400 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P360.smi already exists
H09P370 missing from tranches, no worries
H09P380 missing from tranches, no worries
H09P390 missing from tranches, no worries
H09P400 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H17M500 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H17/H17M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H17/H17P190.smi already exists
H18M500 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H18/H18M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H18/H18P190.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H19/H19P190.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H20/H20P190.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H21/H21P090.smi already exists
